,Address,Street,Postal Code,Occupancy,Payment / mth,Latitude,Longitude
0,"5th Street, San Francisco, 94107",5th Street,94107,6-29,4638,37.7785548,-122.4034342
1,"Bryant Street, San Francisco, 94107",Bryant Street,94107,1-100,1300,37.7785548,-122.4034342
2,"Folsom St, San Francisco, 94107",Folsom Street,94107,46-55,35558,37.779634,-122.4002044
3,"Folsom Street, Financial District, San Francisco, San Francisco, 94107",Folsom Street,94107,1-50,460,37.7821754,-122.4032172
4,"Federal St, San Francisco, 94107",Federal Street,94107,9-50,7389,37.7821754,-122.4032172
5,"Clementina St. , San Francisco, 94103",Clementina Street,94103,25-30,21875,37.7835587,-122.3941324
6,"New Montgomery St., San Francisco, 94105",New Montgomery Street,94105,1-300,800,37.7807105,-122.4061346
7,"Tehama St., San Francisco, 94105",Tehama Street,94105,4-75,2200,37.7874603,-122.4027121
8,"Natoma street, San Francisco, 94105",Natoma Street,94105,1-40,443,37.7859977,-122.4003979
9,"New Montgomery Street, San Francisco, 94103",New Montgomery Street,94103,41-49,53628,37.7875396,-122.400609
10,"Market St. , San Francisco, 94130",Market Street,94130,5-22,2665,37.7873699,-122.4026192
11,"Mission Street, San Francisco, 94105",Mission Street,94105,2-21,2000,37.7889907,-122.4007748
12,"Mission Street, San Francisco, 94105",Mission Street,94105,2-21,2000,37.7889907,-122.4007748
13,"Mission Street, San Francisco, 94105",Mission Street,94105,1-100,1350,37.7889907,-122.4007748
14,"Mission Street, San Francisco, 94105",Mission Street,94105,1-100,1350,37.7889907,-122.4007748
15,"Market Street, San Francisco, 94105",Market Street,94105,1-100,1022,37.7889907,-122.4007748
16,"Market Street, San Francisco, 94104",Market Street,94104,4-30,3625,37.790728,-122.4017771
17,"Geary St, San Francisco, 94108",Geary Street,94108,10-24,8430,37.7885979,-122.404472
18,"Montgomery Street, San Francisco, 94104",Montgomery Street,94104,1-50,813,37.7872661,-122.411257
19,"Spear Street, San Francisco, 94105",Spear Street,94105,1-50,987,37.79183,-122.4047784
20,"Bush Street, San Francisco, 94104",Bush Street,94104,4-33,4598,37.7908136,-122.394077
21,"Sutter Street, San Francisco, 94108",Sutter Street,94108,30-36,32970,37.7911916,-122.4029712
22,"Montgomery Street, San Francisco, San Francisco, 94104",Montgomery Street,94104,1-28,290,37.7891778,-122.4112123
23,"11th Street, San Francisco, 94103",11th Street,94103,1-100,595,37.7726508,-122.4172046
24,"Montgomery Street, San Francisco, 94111",Montgomery Street,94111,15-34,15000,37.7980534,-122.4060321
25,"California Street, Financial District, San Francisco, 94104",California Street,94104,1-50,507,37.7980534,-122.4060321
26,"Embarcadero Center, Financial District, San Francisco, San Francisco, 94111",Embarcadero Center,94111,1-50,544,37.7930319,-122.4036806
27,"Commercial Street, San Francisco, 94111",Commercial Street,94111,30-36,35220,37.7946083,-122.3987301
28,"Montgomery Street , San Francisco, 94111",Montgomery Street,94111,1-50,528,37.7942914,-122.404886
29,"Mission St, San Francisco, 94103",Mission Street,94103,1-100,580,37.7783494,-122.4142472
30,"Battery Street East , San Francisco, 94111",Battery Street ,94111,1-99,300,37.7974706,-122.4030252
31,"Montgomery Street, Telegraph Hill, San Francisco, San Francisco, 94111",Montgomery Street,94111,1-50,872,37.7974706,-122.4030252
32,"Montgomery St, San Francisco, 94111",Montgomery Street,94111,1-100,805,37.8016902,-122.4068222
